"state","t","begin","end","pollster","polltype","method","n_respondents","pct_clinton","n_clinton","pct_trump","n_trump","poll_day","index_s","index_p","index_m","index_pop","index_t"
"--",2016-03-04,2016-03-03,2016-03-06,"NBC","Registered Voters","Live phone component",1200,0.573033707865168,612,0.426966292134831,456,4,52,65,1,3,4
"--",2016-03-04,2016-03-03,2016-03-06,"ABC","Registered Voters","Live phone component",864,0.549450549450549,432,0.450549450549451,354,4,52,1,1,3,4
"--",2016-03-05,2016-03-04,2016-03-06,"Morning Consult","Registered Voters","Online poll",1516,0.547619047619048,697,0.452380952380952,576,5,52,63,2,3,5
"--",2016-03-07,2016-03-05,2016-03-09,"Ipsos","Registered Voters","Online poll",1594,0.592105263157895,717,0.407894736842105,494,7,52,46,2,3,7
"--",2016-03-11,2016-03-10,2016-03-12,"YouGov","Registered Voters","Online poll",1647,0.505882352941176,708,0.494117647058824,692,11,52,103,2,3,11
"--",2016-03-12,2016-03-11,2016-03-13,"Morning Consult","Registered Voters","Online poll",2978,0.55952380952381,1400,0.44047619047619,1102,12,52,63,2,3,12
"--",2016-03-14,2016-03-12,2016-03-16,"Ipsos","Registered Voters","Online poll",1437,0.531645569620253,604,0.468354430379747,532,14,52,46,2,3,14
"--",2016-03-18,2016-03-16,2016-03-21,"Quinnipiac","Registered Voters","Live phone component",1451,0.534883720930233,667,0.465116279069767,580,18,52,78,1,3,18
"--",2016-03-18,2016-03-17,2016-03-20,"Monmouth University","Registered Voters","Live phone component",848,0.558139534883721,407,0.441860465116279,322,18,52,61,1,3,18
"--",2016-03-18,2016-03-17,2016-03-20,"CBS","Registered Voters","Live phone component",1058,0.555555555555556,529,0.444444444444444,423,18,52,13,1,3,18
"--",2016-03-18,2016-03-17,2016-03-20,"CNN","Registered Voters","Live phone component",925,0.563829787234043,490,0.436170212765957,379,18,52,19,1,3,18
"--",2016-03-19,2016-03-18,2016-03-21,"Morning Consult","Registered Voters","Online poll",2001,0.542168674698795,900,0.457831325301205,760,19,52,63,2,3,19
"--",2016-03-20,2016-03-17,2016-03-23,"McLaughlin","Likely Voters","Online poll",1002,0.539325842696629,481,0.460674157303371,411,20,52,57,2,2,20
"--",2016-03-20,2016-03-19,2016-03-22,"Bloomberg","Likely Voters","Live phone component",815,0.6,440,0.4,293,20,52,11,1,2,20
"--",2016-03-20,2016-03-17,2016-03-24,"GQR","Likely Voters","Live phone component",900,0.56989247311828,477,0.43010752688172,360,20,52,37,1,2,20
"--",2016-03-21,2016-03-19,2016-03-23,"Ipsos","Registered Voters","Online poll",1311,0.551282051282051,564,0.448717948717949,459,21,52,46,2,3,21
"--",2016-03-21,2016-03-20,2016-03-22,"FOX","Registered Voters","Live phone component",1016,0.563218390804598,498,0.436781609195402,386,21,52,33,1,3,21
"--",2016-03-25,2016-03-24,2016-03-26,"PPP","Likely Voters","Other",1083,0.539325842696629,520,0.460674157303371,444,25,52,75,3,2,25
"--",2016-03-25,2016-03-24,2016-03-26,"Morning Consult","Registered Voters","Online poll",2071,0.536585365853659,911,0.463414634146341,787,25,52,63,2,3,25
"--",2016-03-27,2016-03-26,2016-03-29,"YouGov","Registered Voters","Online poll",1613,0.523255813953488,726,0.476744186046512,661,27,52,103,2,3,27
"--",2016-03-29,2016-03-27,2016-03-31,"Ipsos","Registered Voters","Online poll",1580,0.584415584415584,711,0.415584415584416,506,29,52,46,2,3,29
"--",2016-03-30,2016-03-28,2016-04-02,"IBD","Registered Voters","Live phone component",819,0.573170731707317,385,0.426829268292683,287,30,52,43,1,3,30
"--",2016-03-30,2016-03-29,2016-03-31,"McClatchy","Registered Voters","Live phone component",1066,0.549450549450549,533,0.450549450549451,437,30,52,56,1,3,30
"--",2016-03-31,2016-03-28,2016-04-03,"NBC","Registered Voters","Online poll",12116,0.576923076923077,5452,0.423076923076923,3998,31,52,65,2,3,31
"--",2016-04-02,2016-04-01,2016-04-03,"Morning Consult","Registered Voters","Online poll",2004,0.542168674698795,902,0.457831325301205,762,33,52,63,2,3,33
"--",2016-04-04,2016-04-02,2016-04-06,"Ipsos","Registered Voters","Online poll",1325,0.534246575342466,517,0.465753424657534,450,35,52,46,2,3,35
"--",2016-04-07,2016-04-04,2016-04-10,"NBC","Registered Voters","Online poll",11204,0.544303797468354,4818,0.455696202531646,4033,38,52,65,2,3,38
"--",2016-04-09,2016-04-08,2016-04-11,"Morning Consult","Registered Voters","Online poll",4015,0.55421686746988,1847,0.44578313253012,1486,40,52,63,2,3,40
"--",2016-04-10,2016-04-08,2016-04-12,"CBS","Registered Voters","Live phone component",1098,0.555555555555556,549,0.444444444444444,439,41,52,13,1,3,41
"--",2016-04-11,2016-04-09,2016-04-13,"Ipsos","Registered Voters","Online poll",1424,0.558441558441558,612,0.441558441558442,484,42,52,46,2,3,42
"--",2016-04-12,2016-04-10,2016-04-14,"NBC","Registered Voters","Live phone component",1000,0.561797752808989,500,0.438202247191011,390,43,52,65,1,3,43
"--",2016-04-12,2016-04-11,2016-04-13,"FOX","Registered Voters","Live phone component",1021,0.539325842696629,490,0.460674157303371,419,43,52,33,1,3,43
"--",2016-04-14,2016-04-11,2016-04-17,"NBC","Registered Voters","Online poll",11498,0.551724137931034,5519,0.448275862068966,4484,45,52,65,2,3,45
"--",2016-04-16,2016-04-15,2016-04-17,"Morning Consult","Registered Voters","Online poll",2032,0.55421686746988,935,0.44578313253012,752,47,52,63,2,3,47
